timestamp,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind_speed,wind_direction
2024-09-01 00:00:00,10.1,14.4,32.6,16.6,572.6,54.5,6.0,52.0,1009.3,3.5,222
2024-09-01 01:00:00,14.5,23.4,27.3,17.5,677.7,53.1,6.2,58.8,1014.4,2.6,210
2024-09-01 02:00:00,8.4,13.5,37.1,14.6,664.5,44.7,6.8,64.3,1014.6,4.9,146
2024-09-01 03:00:00,10.7,16.5,36.7,15.9,748.6,39.7,7.8,57.5,1012.4,3.7,186
2024-09-01 04:00:00,13.4,19.0,44.4,14.9,728.0,22.4,9.0,64.0,1014.2,3.0,160
2024-09-01 05:00:00,11.6,18.2,43.6,18.4,767.1,10.1,10.4,53.4,1011.7,1.8,203
2024-09-01 06:00:00,21.3,33.5,44.8,15.3,825.8,16.8,12.0,54.1,1019.2,5.3,178
2024-09-01 07:00:00,31.6,47.8,61.6,15.1,1058.3,24.1,13.6,54.0,1012.1,4.5,141
2024-09-01 08:00:00,25.4,41.8,56.7,21.1,1022.3,40.8,15.0,46.2,1018.1,5.2,185
2024-09-01 09:00:00,22.9,39.5,57.8,20.4,994.5,51.6,16.2,50.5,1010.4,2.3,178
2024-09-01 10:00:00,16.6,24.8,39.1,16.8,678.3,53.0,17.2,42.4,1012.6,4.1,177
2024-09-01 11:00:00,25.6,41.5,38.3,16.1,766.9,67.9,17.8,40.0,1011.9,5.8,163
2024-09-01 12:00:00,17.3,29.7,36.2,16.3,657.2,71.4,18.0,49.0,1011.9,5.4,163
2024-09-01 13:00:00,17.9,28.9,33.6,17.7,593.6,67.8,17.8,40.0,1009.2,2.7,152
2024-09-01 14:00:00,16.8,30.2,29.6,15.9,434.2,71.2,17.2,46.4,1012.5,3.3,202
2024-09-01 15:00:00,13.3,20.2,39.9,16.4,518.4,74.9,16.2,40.0,1017.0,4.7,169
2024-09-01 16:00:00,19.0,29.7,33.3,15.0,507.2,86.1,15.0,48.3,1019.0,4.1,166
2024-09-01 17:00:00,20.0,33.5,38.6,16.8,651.1,76.6,13.6,51.4,1005.9,4.6,187
2024-09-01 18:00:00,20.4,31.3,43.9,15.3,734.5,83.1,12.0,48.2,1015.8,1.7,176
2024-09-01 19:00:00,22.3,35.1,37.1,14.5,680.3,90.3,10.4,50.4,1012.7,6.0,169
2024-09-01 20:00:00,15.7,23.4,25.2,15.3,547.9,83.2,9.0,62.9,1018.2,3.9,175
2024-09-01 21:00:00,11.5,17.2,38.3,18.4,555.7,90.8,7.8,60.5,1010.4,4.2,231
2024-09-01 22:00:00,19.9,32.8,32.4,19.6,591.1,76.3,6.8,57.8,1012.8,5.7,184
2024-09-01 23:00:00,15.2,26.6,25.1,13.5,638.1,52.5,6.2,56.9,1010.6,2.9,113
2024-09-02 00:00:00,13.2,19.9,51.8,16.6,934.1,63.2,6.8,59.4,1013.8,3.6,165
2024-09-02 01:00:00,17.2,30.0,56.3,19.3,990.1,38.2,7.0,68.5,1014.0,4.7,196
2024-09-02 02:00:00,13.0,17.8,59.8,20.4,1014.3,54.9,7.6,55.7,1014.2,2.3,127
